video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance
Just One Day,t9JbdvifAMw,4:00,하루만,BTS,Q3,Q4,2014,1,1,0.1427186348652317,811.0545756121843,206.4563592676515,65.40639132514966,141.04996794250184,0.0119895357638597,42494024,0.402772785852312,A,major,0.9447338581085204,4.23671290730932
봄날,ZO1xdXOXarc,4:35,봄날,BTS,Q3,Q4,2017,1,1,0.1002964845404489,748.4382380275554,159.19961611844158,65.40639132514966,93.79322479329193,0.00622488418594,75925004,0.5487639220694993,Eb,major,0.7991126179695129,5.239914807125266
Answer _ Love Myself,9mwRYgMmSGE,4:12,Answer: Love Myself,BTS,Q3,Q1,2018,1,1,0.1619848456847163,499.88807897838853,153.77669275969214,65.40639132514966,88.37030143454248,0.0130918249487876,75518226,0.6499119861491139,C#,major,0.9645507335662842,4.1102929017944225
Beautiful Moment (내 생에 아름다운),N4RAUQAQC5k,3:59,내 생에 아름다운,케이윌,Q3,Q4,2016,1,1,0.1995722756877612,919.484371758867,391.9954359817493,65.40639132514966,326.58904465659964,0.0118922349065542,18458904,0.1758832081401218,Eb,major,0.849689781665802,0.7721421960887064
I need you (니가 필요해 (I NEED YOU)),GFrx346WL6g,3:40,니가 필요해,케이윌,Q3,Q4,2012,1,1,0.1085164835164835,1083.6422391382675,761.6721736854058,65.40639132514966,696.2657823602561,0.0132551593706011,64193370,0.7231861030462776,F,minor,0.8134097456932068,4.380493674759674
Amazing You (그대라는 사치),LkE6CvVRsn0,4:57,그대라는 사치,한동근,Q3,Q1,2014,1,1,0.1623122653316645,1002.5364726125802,278.7883336231537,65.40639132514966,213.381942298004,0.0175901912152767,42442806,0.2614345443395519,F#,major,0.9569858312606812,2.3097934403549933
[도깨비 OST Part 9] 에일리 (Ailee) - 첫눈처럼 너에게 가겠다 (I will go to you like the first snow) (Official Audio),6rS7OUGXUik,3:51,첫눈처럼 너에게 가겠다,에일리,Q3,Q4,2017,1,1,0.1958013726281792,1322.3694805594596,811.6382503556265,65.40639132514966,746.2318590304768,0.0073261805810034,13990224,0.1437429214936818,F,minor,0.8114461302757263,2.937307256970465
Heaven (HEAVEN),r-el8_35fU8,3:32,Heaven,에일리,Q3,Q1,2012,1,1,0.1240386728191606,864.9022377965856,788.5324848825182,65.40639132514966,723.1260935573686,0.0099894432350993,43954896,0.5355484904332086,G,major,0.8075132966041565,4.7935014957241595
노래가 늘었어 (노래가 늘었어),S122aFkcOiw,3:20,노래가 늘었어,에일리,Q3,Q4,2014,1,1,0.1450319581638582,1233.692670011658,327.72904188699454,65.40639132514966,262.32265056184485,0.0150876510888338,33600558,0.4582952143071497,F,major,0.9079934358596802,0.4176289000271864
Good Luck (GOOD LUCK),i86RMBFxtao,3:23,Good Luck,비스트,Q2,Q1,2014,1,1,0.2287814402205122,790.2912170101536,538.5835590540482,65.40639132514966,473.17716772889855,0.0199629217386245,54527308,0.7263184002463717,Bb,minor,0.9668058753013612,4.070542869060952
BEAST - '괜찮겠니 (Will you be alright_)' (Snippet),KNWVzo1HABE,22,괜찮겠니,비스트,Q3,Q4,2013,1,1,0.1470911086717892,302.87978735325413,95.76056196257365,65.40639132514966,30.35417063742399,0.0110370116308331,239524,0.3175481113414964,Bb,major,0.9420906901359558,4.495861333491447
아이유(IU) - Blueming(블루밍) [가사_Lyrics],yCFMJrneOUs,3:38,Blueming,IU,Q1,Q1,2019,2,0,0.0736583279880265,49.09875297203402,618.6700483138337,65.40639132514966,553.263656988684,0.0159283950924873,52239650,0.6025054290439458,C,major,0.9376393556594848,5.271115117035965
아이유(IU) - 좋은 날 [가사_Lyrics],V6WWJNpIJN4,3:56,좋은날,IU,Q1,Q1,2010,2,0,0.1946579932978513,801.4294371367857,410.5345162761952,65.40639132514966,345.1281249510455,0.0127321211621165,74291112,0.7277683564746296,C#,minor,0.8068592548370361,3.716804865838605
아이유(IU) - 이 지금 [가사_Lyrics],RUuRcR7ZQUg,2:57,이 지금,IU,Q4,Q1,2017,2,0,0.1934762593713008,800.17006266641,879.9999999999999,65.40639132514966,814.5936086748502,0.0053142891265451,26916160,0.4708819765029261,E,major,0.9174492359161376,2.797917544961307
